Batch,CURRENT,PRES_DISCHARGE,FREQUENCY,PRES_INTAKE,TEMP_INTAKE,TEMP_MOTOR_PUMP,VIBRATION,Failure
169,25.48055445,77.49808068,63.15035173,67.74242579,181.448533,213.1227647,1.780261071,1
170,30.39339444,78.17172054,66.28084846,64.90369102,128.4129268,206.2259572,1.190390251,1
171,23.90112652,94.02613115,63.17219918,85.11474483,124.8588564,201.1897757,0.63,0
172,18.48156863,113.2167451,68.25861875,87.22770411,153.7851098,191.7061917,0.61,0
173,25.34166928,111.9519924,56.15470515,87.69617361,122.556638,198.8940347,0.61,0
174,18.48156863,118.3878979,63.54504788,82.91725649,130.701762,194.7787767,0.6,0
175,23.19196337,126.4055218,64.53246023,88.54230114,137.2929046,188.240726,0.63,0
176,22.70146591,129.9365137,55.17569154,83.6234186,142.2197995,196.7077078,0.64,0
177,19.49001708,121.4284511,57.32017392,83.79856693,124.1758824,203.297274,0.61,0
178,21.87160844,131.1295097,57.59764513,81.77437241,125.4450612,218.4618075,0.68,0
179,27.57450609,134.2032248,57.01902059,77.47144308,129.2707117,201.7906219,0.75,0
180,23.1640976,139.1032303,55.89805018,82.86939351,161.6369961,210.3897917,0.76,0
181,27.90591703,141.6871529,56.72911715,76.58040455,113.3791479,201.5723131,0.69,0
182,25.80069601,136.6880711,55.41544454,80.06682856,161.4001949,214.18541,0.66,0
183,17.80819661,130.9522803,56.96702966,68.52956951,157.2797414,222.6009932,0.71,0
184,17.07373816,120.1587646,57.70048795,71.16490112,144.9969567,239.6155057,0.63,0
185,23.15678042,122.8734135,58.17248733,62.82455062,167.2684455,217.5827515,0.62,0
186,21.28681336,113.2167451,55.96535932,75.0276337,131.1822287,271.3059722,0.62,0
187,17.21527194,118.1619221,58.75972365,71.94929855,177.5672214,286.5933334,0.65,0
188,20.15814078,120.4411854,58.90466343,67.8319591,143.1535319,252.7832204,0.67,0
189,23.87118608,114.9639007,56.78796883,63.36557984,118.4280742,229.2208334,0.68,0
190,27.43857152,119.2610111,57.0330042,85.42823529,143.0982386,260.4661315,0.7,0
191,25.41923916,113.2167451,56.95359369,85.42823529,136.5394598,202.1359064,0.68,0
192,18.48156863,89.30730661,59.73546131,85.42823529,128.2426982,194.1542631,0.71,0
193,25.41908207,90.52530508,59.94439968,82.73084923,125.4179207,200.4700412,0.88,0
194,25.02476326,85.90716195,61.0755434,84.3420228,106.7995967,199.3433997,0.91,0
195,25.17718912,77.10990863,59.61870811,84.29234072,114.8502806,192.9448728,0.85,0
196,25.81547448,77.70373537,65.28324912,85.39775629,126.4470449,207.1114657,0.86,0
197,20.37,68.18346096,66.5725339,81.31517887,119.7422872,214.7224682,0.99,0
